,tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,date,category_raw,category,complaint_category_raw
63,584275,257859,True,Sun Dec 03 14:11:52 +0000 2017,@Delta This round trip flight was $182 a weeks ago.. why is there 250% mark up? #Scam https://t.co/ZfCQB2siqe,584273,,2017-12-03,complaint,flight booking problems,Category: Flight Booking Problems
64,584277,257860,True,Sun Dec 03 13:53:33 +0000 2017,@Delta doesn’t have their shit together. Been waiting for a person at the counter for over 30 minutes. They told me to be here at 4:45am. It’s 5:52am and I haven’t seen a sole. @AmericanAir is about to get my business. https://t.co/oXfJk0pASi,584276,,2017-12-03,complaint,poor customer service,Category: Poor Customer Service
69,585226,258147,True,Sun Dec 03 14:37:22 +0000 2017,"Wow! This is the first time I've ever had problems flying with @Delta. A pilot got sick, and they canceled the entire flight (AUS to SLC) - which is admirable dedication to employees. Hope the pilot's okay.

New flight: AUS to ATL to SEA, arriving at 8:30pm instead of 12:30pm. 😕","585224,585227,585228,585229",,2017-12-03,complaint,flight cancellation,Category: Flight Cancellation.
70,585234,258149,True,Sun Dec 03 14:26:02 +0000 2017,This is what we’re facing with delta airlines. #dontflywithdelta @Delta https://t.co/wVYieYWBe0,"585232,585235,585236",,2017-12-03,complaint,bad flight experience,Category: Bad Flight Experience
74,585245,258151,True,Sun Dec 03 14:25:33 +0000 2017,@Delta another hour delay because the plane is in a weak signal area. So let’s not move the plane let’s wait a hour for some paperwork Atlanta,585244,,2017-12-03,complaint,flight delays,Category: Flight Delays
77,573253,254732,True,Sun Dec 03 05:27:10 +0000 2017,".@Delta I wanna change a flight that is 6 months out &amp; I'm looking at $900 worth of ""change fees"" ... I understand it's ""detailed online?"" I'm being gouged by you. Life changes, but that's not your concern. I hear your message loud and clear. #LastDeltaFlight #PaperNotPeople",573251,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
80,565478,252524,True,Sun Dec 03 00:37:20 +0000 2017,Hey @Delta cinnamon bread isn’t what you use to make a turkey sandwich. Can I get my money back? https://t.co/3bLKjQqYJn,"565477,565479",,2017-12-03,complaint,other,Category: Other.
81,565483,252526,True,Sun Dec 03 00:25:38 +0000 2017,@delta 6 hour flight and you no longer provides food? 🤔🤔🤔 Had food on the way. No food on the way back. Hmmmmmmm 🤔🤔🤔🤔🤔,565482,,2017-12-03,complaint,bad flight experience,Category: Bad Flight Experience.
82,566382,252784,True,Sun Dec 03 01:21:33 +0000 2017,@Delta mother in law came from Germany to Atlanta to see her daughter.  Haven’t see each other in over a year.  She speaks no English. Her luggage remains in Germany.  You said it would be here the next day.  It wasn’t.  Now they can’t find it.  What will you do make this whole?!,566380,,2017-12-03,complaint,lost/damaged luggage,Lost/Damaged Luggage
84,566396,252787,True,Sun Dec 03 01:19:56 +0000 2017,My company and I will never fly @Delta again... piss poor service at JFK destroyed at 15 year relationship. #done,"566395,566397",,2017-12-03,complaint,poor customer service,Category: Poor Customer Service
86,566410,252789,True,Sun Dec 03 00:55:32 +0000 2017,@Delta - it’s time for us to check in but your app won’t let us pick seats. What gives? #airlineproblems,566409,,2017-12-03,Category: Complaint,flight booking problems,Category: Flight Booking Problems
89,567219,253035,True,Sun Dec 03 01:48:07 +0000 2017,@Delta You're still garbage. Can't believe you surge priced my flight in the 10 minutes it took me to start booking and hit pay. Hit pay only to see you've raised the price.,567217,,2017-12-03,complaint,flight booking problems,Category: Flight Booking Problems
90,567221,253036,True,Sun Dec 03 01:52:34 +0000 2017,@Delta you may often ponder why your guests never want to check their bag... this is why.... some of your careless employees.. I love flying @Delta but this makes me second guess that. If this is how you treat luggage with our valuables. #youcandobetterthanthis https://t.co/KZpn1msOq1,567220,,2017-12-03,complaint,lost/damaged luggage,Lost/Damaged Luggage
92,567226,253038,True,Sun Dec 03 01:29:34 +0000 2017,Is @Delta not monitoring its twitter customer requests? I had 3 DMs unanswered. And it’s odd given I am a #diamondmedallion,"567225,567227,567228",,2017-12-03,complaint,poor customer service,Category: Poor Customer Service
93,567230,253039,True,Sun Dec 03 01:51:59 +0000 2017,"@Delta, why is this dinky-ass plane just sitting here?",567229,,2017-12-03,complaint,flight delays,Category: Flight Delays.
95,567241,253042,True,Sun Dec 03 01:27:03 +0000 2017,@Delta the check in counter team was awful today at the New Orleans Airport.  The agents need some serious customer service training.,567240,,2017-12-03,complaint,poor customer service,Category: Poor Customer Service.
96,565474,247709,True,Sun Dec 03 00:40:34 +0000 2017,"This is the 2nd flight I’ve been on today @Delta with “gate to gate” WiFi that hasn’t been turned on. DL38, DL374",565472,,2017-12-03,complaint,,Flight Experience - WiFi not working on multiple flights.
97,565470,252522,True,Sun Dec 03 00:23:27 +0000 2017,".@delta I enjoy your airline, but I can’t for the life of me understand why on half of your planes, the speaker used by flight attendants has a buzz that’s so loud and annoying that nobody can understand what’s being said (including important safety instructions). #PleaseFixThis","565469,565471",,2017-12-03,complaint,flight attendant complaints,Category: Flight Attendant Complaints
98,565466,252521,True,Sun Dec 03 00:39:44 +0000 2017,Hey @Delta we are traveling as a family and I would really like our seats together and it’s kind of ridiculous that we won’t get our seats until tomorrow.,565465,,2017-12-03,complaint,flight booking problems,Category: Flight Booking Problems
99,565463,252520,True,Sun Dec 03 00:40:13 +0000 2017,@Delta not good! 😡😡😡 at FLL from ATL.... https://t.co/ge6LGUplTi,"565462,565464",,2017-12-03,complaint,flight delays,Category: Flight Delays
100,564568,252253,True,Sun Dec 03 00:27:18 +0000 2017,@Delta damage! Thanks guys!! #broken #inearrackistoast https://t.co/yGzfnIDsLq,564567,,2017-12-03,complaint,lost/damaged luggage,Lost/Damaged Luggage.
107,564590,252260,True,Sun Dec 03 00:03:45 +0000 2017,@Delta  it was my first time flying with you. The people in the checking area are really mean.,564589,,2017-12-03,complaint,poor customer service,Category: Poor Customer Service.
111,565454,252516,True,Sun Dec 03 00:49:30 +0000 2017,"@824 hey! Terrible flight today from Salt Lake City to Atlanta - no entertainment system, no internet also — I paid first class, I received nothing... https://t.co/B6vliluxo7",565453,,2017-12-03,complaint,bad flight experience,Category: Bad Flight Experience.
113,565458,252518,True,Sun Dec 03 00:49:10 +0000 2017,@Delta help me change my flight 😥😥😥😥😥,565457,,2017-12-03,Category: Complaint.,flight booking problems,Flight Booking Problems
120,571411,254236,True,Sun Dec 03 01:51:48 +0000 2017,@Delta we are stuck in Munich without our luggage. The app doesn’t update where it is. Nobody is responding to messages. #notcool #DeltaAirlines #hotmess,571409,,2017-12-03,complaint,lost/damaged luggage,Lost/Damaged Luggage.
124,571426,254240,True,Sun Dec 03 03:57:26 +0000 2017,Holy crap @delta auto checked me in to a middle seat for my overnight flight tomorrow and I'm FURIOUS cos I'm registered as preferred window seat. #FirstWorldProblems,"571425,571427,571428",,2017-12-03,complaint,flight booking problems,Category: Flight Booking Problems
125,572099,254433,True,Sun Dec 03 02:48:17 +0000 2017,@Delta just received two hour wait estimate to speak w rep on the Diamond Medallion line. Is there an issue w the system?,572098,,2017-12-03,complaint,poor customer service,Poor Customer Service.
127,572105,254435,True,Sun Dec 03 04:43:13 +0000 2017,Thanks to @Delta not only did my souvenir break but so did my Christmas ornament I got from @26469 😭😭😭 ...this is what I get for doing them a favor and checking my carry on cause the flight was booked. https://t.co/qAPCa5gEzA,572104,,2017-12-03,complaint,lost/damaged luggage,Lost/Damaged Luggage.
128,572108,254436,True,Sun Dec 03 01:28:30 +0000 2017,@Delta explain to me how your 24hr damaged bag claim policy isn't just a way for you to avoid paying for bags that you broke?,572106,,2017-12-03,complaint,lost/damaged luggage,Lost/Damaged Luggage.
132,572712,254578,True,Sun Dec 03 04:54:41 +0000 2017,@Delta why would you charge someone bag fees when they are flying business class on their second leg? Your website doesn't say free bags only if business class is the first leg of your flight. WTF?!,572710,,2017-12-03,complaint,flight booking problems,Category: Flight Booking Problems
136,568992,253509,True,Sun Dec 03 02:44:36 +0000 2017,"@Delta I don’t know why we get Medallion Upgrades... You can’t ever use them! My loyalty isn’t returned... 10,000 miles this week and next no upgrade!",568991,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
137,570559,253964,True,Sun Dec 03 03:29:09 +0000 2017,@Delta unable to redeem ecertificate... Call center hold time 25 mins. Help!!,570557,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
139,568996,253511,True,Sun Dec 03 02:35:43 +0000 2017,Purchased mileage booster but @Delta didn’t charge or credit me the miles and now I’m missing my medallion status for next year by 726 miles. FML.,568995,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
140,568998,253512,True,Sun Dec 03 02:29:05 +0000 2017,"@824, REALLY GETTING FRUSTRATED. Trying to check my son in for his flight and thwarted at every turn.",568997,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
143,569697,253714,True,Sun Dec 03 01:54:13 +0000 2017,@Delta didn’t let me on my flight because they claimed I checked in too late. But I checked in two hours early. When I spoke to a manager to resolve the issue she said she had no obligation to do so and hung up on me. So I missed my flight and purchased @AmericanAir instead.,569695,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
145,569704,253716,True,Sun Dec 03 03:06:32 +0000 2017,@Delta seriously? a two hour hold time?? what happened to your call back service? #igotalifetolive,569701,,2017-12-03,complaint,poor customer service,Category: Poor Customer Service
146,569707,253717,True,Sun Dec 03 03:07:38 +0000 2017,@SouthwestAir - this is exactly why I fly @Delta. Horrible Customer Service. Horrible Flight Attendants. Horrible. Bottom Line.,569706,,2017-12-03,complaint,poor customer service,Category: Poor Customer Service and Flight Attendant Complaints.
147,569709,253718,True,Sun Dec 03 02:58:27 +0000 2017,"@Delta need some help with an upgrade that I was given , to a middle seat",569708,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
148,569711,253719,True,Sun Dec 03 02:57:00 +0000 2017,"@Delta stuck on the tarmac at JFK for an hour due to delta letting on a passenger with a visa issue, then decides to remove her and child after an hour on the runway. Way to go delta, great customer service",569710,,2017-12-03,complaint,flight delays,Category: Flight Delays and Poor Customer Service.
152,570556,253963,True,Sun Dec 03 03:31:42 +0000 2017,@Delta I keep trying to change a flight on your website and getting error message. Than there is an hour long wait time to speak to someone on the phone!,570555,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
153,588914,259194,True,Sun Dec 03 15:48:22 +0000 2017,@Delta My flight from FRA to ATL is cancelled. You emailed me a helpdesk number for the US. I'm in Germany.,588913,,2017-12-03,complaint,flight cancellation,Category: Flight Cancellation
155,588918,259196,True,Sun Dec 03 15:52:08 +0000 2017,"@Delta your flight search is down on https://t.co/SD9M6Dmig8 (when searching to change a flight), and there is a TWO HOUR wait time estimate on your phone service. Can't you hire a few more customer service reps, and a better website development team?",588917,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
156,601886,262843,True,Sun Dec 03 21:47:17 +0000 2017,"@Delta ...Flight delayed, forcing missed connection and extra day. How does this happen to the same traveler on the same route two years in a row?",601885,,2017-12-03,complaint,flight delays,Category: Flight Delays.
159,600942,262548,True,Sun Dec 03 21:00:55 +0000 2017,@Delta @824 cleanliness on planes is poor. Pillow just now was gross.🤢Last flight seat was dirty. Ewww.,600941,,2017-12-03,complaint,bad flight experience,Category: Bad Flight Experience.
161,601882,262841,True,Sun Dec 03 21:48:53 +0000 2017,Gotta be the most pathetic airline service I've ever seen by @Delta . Delay your own flight into Atlanta. Close my connecting flight gate 10-15 minutes early. Top it off by giving a seat request for the next flight out. Fantastic.,601881,,2017-12-03,complaint,flight delays,Category: Flight Delays
163,601888,262844,True,Sun Dec 03 21:48:37 +0000 2017,"Hey @Delta what’s the point of offering one carry one if you have to check it every single time. Multiple overhead storage open, inconvenient experiences. #annoyed","601887,601889",,2017-12-03,complaint,bad flight experience,Category: Bad Flight Experience.
164,598581,261942,True,Sun Dec 03 20:12:30 +0000 2017,"@Delta - I'm quite surprised there is anything close to a correct passanger list  about how you just boarded this flight out of LaGuardia. Time to get an efficient, safer process. I just witnessed several of your customers including me floored at what just happened.",598579,,2017-12-03,complaint,bad flight experience,Category: Bad Flight Experience.
165,601892,251476,True,Sun Dec 03 21:44:16 +0000 2017,"@Delta Checking in for our SEA-SFO flight and being asked for passport or green card. Agent response when asked why is: “I don’t care about the legal mambo jumbo”. Then procedes to ask if I’m related to my husband, who isn’t on the same reservation 🤷🏻‍♂️",601890,,2017-12-03,complaint,poor customer service,Poor Customer Service.
166,601894,262845,True,Sun Dec 03 21:42:11 +0000 2017,@Delta First and last time flying with you. Never been so insulted in my entire life.,"601893,601895",,2017-12-03,complaint,poor customer service,Category: Poor Customer Service
167,601897,262846,True,Sun Dec 03 21:44:30 +0000 2017,@Delta I have 6 passengers in my itinerary. I’ve checked us in 3 times now via the app. I’m almost at the airport and can’t get any of our boarding passes. Please fix this!,601896,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
170,601903,262849,True,Sun Dec 03 21:40:38 +0000 2017,@Delta 17 delta comfort seats available on my flight and I’m SPG Platinum. Gate agent said I’d have to pay $200+ to get upgraded. Never happened any other time. What’s the deal? 19th delta flight since August.,601902,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
171,600934,262545,True,Sun Dec 03 21:04:59 +0000 2017,@Delta you should forewarn consumers before flight that they will have no screens in front of them. Especially when its. 3+hr flight. This sucks!,600933,,2017-12-03,complaint,bad flight experience,Bad Flight Experience.
173,600930,262544,True,Sun Dec 03 21:09:18 +0000 2017,@Delta hello! I’ve checked in about 4 times now and still haven’t been sent my boarding passes for tomorrow :/,600929,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
174,600928,262543,True,Sun Dec 03 21:05:08 +0000 2017,@Delta your 47 minute hold times are &gt; than your delays which tells me you don't staff to prevent foreseeable issues=I don't believe you.,600927,,2017-12-03,complaint,poor customer service,Category: Poor Customer Service
177,600918,262541,True,Sun Dec 03 21:12:46 +0000 2017,"@Delta a policy to reconsider: I’m traveling with my minor nephew who wasn’t allowed into sky club because he doesn’t have an AMEX. 🤔. I’m not going to leave him out. Nor should I have to pay for him. He’s a kid. Club Agents were really nice, though!",600917,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
181,599519,262227,True,Sun Dec 03 20:31:14 +0000 2017,@Delta flight 1359 deserves free WiFi,599518,,2017-12-03,complaint,other,Other.
188,601905,239739,True,Sun Dec 03 21:38:33 +0000 2017,@delta. I left my coat in the B skyclub today. It's a black coat with ( GE healthcare) on the arm.   I'm heading to CHS.  HELP PLEASE!!!!,601904,,2017-12-03,complaint,lost/damaged luggage,Lost/Damaged Luggage.
189,601907,262850,True,Sun Dec 03 21:33:10 +0000 2017,Soooo @Delta just added a stop to my nonstop flight. Also added an hour to the trip. Never had this happen before. Never would’ve booked this flight with a stop. A credit will he requested.,601906,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
190,601910,262851,True,Sun Dec 03 21:35:37 +0000 2017,"An hour late departing, and now we’re stopped on the landing strip for engine issues. @Delta I’m really hoping we get compensation for this!! This flight has been horrible!!",601908,,2017-12-03,complaint,flight delays,Category: Flight Delays
193,2511074,715740,True,Sun Dec 03 16:36:49 +0000 2017,@Delta charging $950 for an earlier flight with empty seats?  Way to treat your customers right 😡,2511072,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
194,603668,263451,True,Sun Dec 03 22:19:31 +0000 2017,@Delta why is your bereavement number the same as regular reservations? Having to wait 2 hours to get answers is not helping.,603667,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
195,603666,263450,True,Sun Dec 03 22:22:42 +0000 2017,Wow such bad service at @Delta !  People missed their flights because your crew decided not to allow them to board at a couple of minutes before the flight took off.,603665,,2017-12-03,complaint,flight delays,Category: Flight Delays
197,603662,263448,True,Sun Dec 03 22:26:16 +0000 2017,@Delta is your reservation staff working? we sadly just lost someone in our family &amp; cant get anyone to change this flight tonight,603661,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
200,603656,263446,True,Sun Dec 03 22:28:35 +0000 2017,@Delta probably the worst experience flying. We mistakenly purchased basic economy. At 6’6” and traveling with. 7 month pregnant wife on a flight with 8 comfort plus seats available and willing to pay to upgrade and told no. Unreal you won’t accept $ from consumer for comfort.,603653,,2017-12-03,complaint,bad flight experience,Bad Flight Experience
201,603652,263445,True,Sun Dec 03 22:29:18 +0000 2017,@delta in a window seat right now and my feet are so frozen through my shoes that I can't even feel them. How is this ok?,603651,,2017-12-03,complaint,bad flight experience,Category: Bad Flight Experience.
202,603647,261648,True,Sun Dec 03 22:37:37 +0000 2017,So @Delta still with Mechanical issues on flt1918. Now we’re racing from SNA to LAX by #Uber to catch new flight hoping to arrive tonight. @28132 @28133 @263443,603646,,2017-12-03,complaint,flight delays,Flight Delays
206,603633,263441,True,Sun Dec 03 22:35:18 +0000 2017,I had a great time flying with @Delta to Singapore/Japan/HK but now I am GOLD ELITE and my husband isn’t #divorce @28130,"603632,603634",,2017-12-03,complaint,other,Other.
210,603627,263438,True,Sun Dec 03 22:31:27 +0000 2017,@Delta answer me. Why is this a policy to take pictures of passengers before they board a flight to Ghana?!  Why is this ok? #DeltaAirlines,603626,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
212,603623,263436,True,Sun Dec 03 22:52:29 +0000 2017,@Delta What’s going on here?? On hold for 20 mins.  Nice service. https://t.co/EJlx3yMouL,603622,,2017-12-03,complaint,poor customer service,Category: Poor Customer Service
213,602877,263168,True,Sun Dec 03 21:56:22 +0000 2017,"@Delta I’ve been in Pittsburg all weekend for work, we ended early and I’m trying to fly out on 5:45. I’m booked on the 6:45, hoping arrive early and have a little Sunday without paying $75 change fee!!? The flight before us is wide open! Doesn’t make sense!",602876,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
214,602873,263167,True,Sun Dec 03 22:08:38 +0000 2017,@Delta very disappointed in your new Economy Basic fare class. I am sitting in SLC right now trying to move to an earlier flight to SEA. There are seats available on the earlier flight and I would pay $100 extra to change flights but I can't because of this fare class. Help!!,602872,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
216,602869,263165,True,Sun Dec 03 22:03:20 +0000 2017,Flight from ROC to LGA. App says 5:15pm departure with arrival of 6:47pm. We board plane and captain says the flight time is 45 minutes. Why you lying? 🤥 @Delta,602868,,2017-12-03,complaint,flight delays,Category: Flight Delays
218,602864,263164,True,Sun Dec 03 22:08:35 +0000 2017,"@Delta The condition of aircraft on Flight #483 today from JFK to SFO is unacceptable. Between the putrid smell, lack of in seat power, and ancient IFE and overall condition. This is not acceptable for a 6.5 hour flight.",602863,,2017-12-03,complaint,bad flight experience,Category: Bad Flight Experience.
222,598583,261943,True,Sun Dec 03 20:01:39 +0000 2017,@Delta Disappointed with delta online reservation. I always get an error with fare change after selecting the dates and submitting the payment. Looks like there is no sync between showing prices and booking flights.,598582,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
230,594117,260725,True,Sun Dec 03 18:16:04 +0000 2017,@Delta flight1287 from Miami to LaGuardia smells awful. We just boarded. It’s really really bad.,594116,,2017-12-03,complaint,bad flight experience,Category: Bad Flight Experience.
234,594127,260729,True,Sun Dec 03 18:08:51 +0000 2017,@Delta I need help ASAP! My daughters are stuck at LGA and the desk person is not helping! Please DM me,"594126,594128",,2017-12-03,complaint,poor customer service,Category: Poor Customer Service
236,594132,260731,True,Sun Dec 03 18:02:12 +0000 2017,Usually a fan of @Delta but not today. Extremely frustrating.,594131,,2017-12-03,complaint,other,"Category: Other. 

The tweet does not provide enough information to classify the complaint into any of the given categories."
238,594138,260733,True,Sun Dec 03 17:56:45 +0000 2017,"@Delta Bought tickets together, checking in, husband’s seat upgraded to Delta Comfort &amp; mine changed. Tried calling, 2 hour wait. How can we fix this to sit together?",594136,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
239,595244,261046,True,Sun Dec 03 18:49:39 +0000 2017,Calling about my flight which takes off in less than two hours but they’re not gonna call me back for two hours? @Delta  that makes no sense.  I’ve never had an airline say it was going to take that long to answer question,595243,,2017-12-03,complaint,poor customer service,Category: Poor Customer Service
245,598576,261940,True,Sun Dec 03 20:22:57 +0000 2017,Beyond annoyed with @Delta and their lack of customer service.... 🙄 about to cut up this Amex and quit flying w/ them,598575,,2017-12-03,complaint,poor customer service,Poor Customer Service.
250,591647,259998,True,Sun Dec 03 17:20:53 +0000 2017,Our @Delta plane has a leak so it’s time to deplane. People r frustrated but wouldn’t u rather learn of this on the ground than in the air?,591646,,2017-12-03,complaint,flight delays,Category: Flight Delays.
252,591651,259999,True,Sun Dec 03 17:16:26 +0000 2017,@Delta thank you for making me sleep at the airport #RockBottom,591650,,2017-12-03,complaint,flight delays,Category: Flight Delays.
254,591659,260001,True,Sun Dec 03 17:18:04 +0000 2017,You guys suck @Delta,591657,,2017-12-03,complaint,poor customer service,Category: Poor Customer Service.
257,591665,260004,True,Sun Dec 03 17:07:05 +0000 2017,"@Delta Never fly delta! I can't change my flight due to an emergency, even though I bought insurance...",591664,,2017-12-03,complaint,flight booking problems,Flight Booking Problems
258,595248,261047,True,Sun Dec 03 18:37:18 +0000 2017,@Delta I ❤️ U but...On a flight to NYC from MIA (DL1287). Smells like a dozen used diapers filled w/ 💩 INSIDE of this airplane. The flight attendants say there’s nothing they can do. I just hope I don’t smell like 💩 once we land. Help!,595247,,2017-12-03,complaint,bad flight experience,Category: Bad Flight Experience.
260,597403,261640,True,Sun Dec 03 19:47:35 +0000 2017,"After @Delta rebooks me, I get put on the @VirginAtlantic flight. I thought it’s delayed, but I should still get to Bangalore in time for my events and that layover should be enough time. Then I get to the airport and the flight attendants tell me we will BOARD at 6:45pm instead.","597402,597404",,2017-12-03,complaint,flight delays,Category: Flight Delays.
262,597387,183666,True,Sun Dec 03 19:51:39 +0000 2017,@2838 why do you only have one bus on Friday night for ALL terminals but less busy Sunday two separate routes?  Pain in the ass to arrive on @Delta at night and have to go @140483 via all terminals and the T. @211.,597385,,2017-12-03,complaint,,Flight Experience - Inconvenient airport transportation.
265,597399,261644,True,Sun Dec 03 19:45:28 +0000 2017,Had to fly American today instead of @Delta and I hated it,597398,,2017-12-03,complaint,bad flight experience,Category: Bad Flight Experience.
